New Mexico Location,USDA Hardiness Zone(s)
Dexter,Zone 7a
Dixon,"Zone 6a, 6b"
Do̱a Ana,Zone 8a
Dona Ana County,"Zone 7b, 8a, 8b, 9a, 9b"
Dora,Zone 7a
Dulce,"Zone 5a, 5b, 6a"
Duran,Zone 6b
Eagle Nest,"Zone 4b, 5a"
East Pecos,"Zone 6a, 6b"
Eddy County,"Zone 7a, 7b, 8a"
Edgewood,"Zone 6a, 6b, 7a"
Edith Endave,"Zone 7a, 7b"
El Cerro,Zone 7a
El Cerro Mission,Zone 7a
El Duende,"Zone 6a, 6b"
El Rancho,Zone 6a
El Rito,Zone 6b
El Valle de Arroyo Seco,"Zone 6a, 6b"
Eldorado at Santa Fe,Zone 6b
Elephant Butte,Zone 8a
Elida,Zone 7a
Encinal,"Zone 6b, 7a, 7b"
Encino,Zone 6b
Ensenada,Zone 5a
Escondida,Zone 7b
Escudilla Bonita,Zone 6a
Espa̱ola,Zone 6a
Estancia,Zone 6a
Eunice,Zone 7b
Fairacres,Zone 8a
Farmington,"Zone 6b, 7a"
Faywood,Zone 8a
Fence Lake,"Zone 5b, 6a"
Flora Vista,Zone 6b
Floyd,Zone 7a
Folsom,Zone 6a
Fort Sumner,Zone 7a
Galisteo,Zone 6b
Gallina,"Zone 5b, 6a"
Gallup,"Zone 5b, 6a"
Garfield,Zone 8a
Gila,Zone 7b
Glen Acres,Zone 8a
Glenwood,Zone 7b
Glorieta,"Zone 6a, 6b"
Golden,"Zone 6b, 7a"
Grady,Zone 7a
Grant County,"Zone 7a, 7b, 8a, 8b"
Grants,"Zone 6a, 6b"
Grenville,Zone 6a
Guadalupe County,"Zone 6b, 7a"
Hachita,Zone 8a
Hagerman,Zone 7a
Hanover,"Zone 7b, 8a"
Happy Valley,Zone 7b
Harding County,"Zone 6a, 6b, 7a"
Hatch,"Zone 7b, 8a"
Hernandez,"Zone 6a, 6b"
Hidalgo County,"Zone 7a, 7b, 8a, 8b"
High Rolls,"Zone 7a, 7b"
Highland Meadows,Zone 7a
Hillsboro,Zone 8a
Hobbs,Zone 7b
Holloman AFB,"Zone 7b, 8a"
Homestead,Zone 6a
Hope,Zone 7b
Hot Springs Landing,Zone 8a
House,Zone 7a
Hurley,Zone 8a
Indian Hills,"Zone 6a, 6b"
Isleta Village Proper,Zone 7a
Jacona,Zone 6a
Jaconita,Zone 6a
Jal,Zone 8a
Jarales,Zone 7a
Jemez Pueblo,Zone 7a
Jemez Springs,Zone 6b
Keeler Farm,Zone 8a
Kingston,Zone 7b
Kirtland,Zone 7a
La Cienega,Zone 6b
La Cueva,"Zone 6a, 6b"
La Hacienda,Zone 8a
La Huerta,Zone 7b
La Jara,"Zone 5b, 6a"
La Joya,Zone 7a
La Luz,"Zone 7b, 8a"
La Madera,"Zone 6a, 6b"
La Mesa,Zone 8a
La Mesilla,Zone 6a
La Plata,Zone 6b
La Puebla,Zone 6a
La Union,Zone 8a
La Villita,Zone 6a
Laguna,"Zone 6b, 7a"
Lake Arthur,Zone 7a
Lake Roberts,Zone 7b
Lake Roberts Heights,Zone 7a
Lake Sumner,Zone 7a
Lake Valley,"Zone 6a, 6b"
Lamy,Zone 6b
Las Cruces,Zone 8a
Las Maravillas,Zone 7a
Las Nutrias,Zone 7a
Las Palomas,Zone 8a
Las Vegas,"Zone 5b, 6a"
Lea County,"Zone 7a, 7b, 8a"
Lee Acres,"Zone 6b, 7a"
Lemitar,"Zone 7a, 7b"
Lincoln County,"Zone 6a, 6b, 7a, 7b, 8a"
Livingston Wheeler,Zone 8a
Llano del Medio,Zone 6b
Loco Hills,Zone 7b
Logan,Zone 7a
Lordsburg,"Zone 7b, 8a"
Los Alamos,"Zone 6b, 7a"
Los Alamos County,"Zone 6a, 6b, 7a"
Los Cerrillos,Zone 6b
Los Chaves,Zone 7a
Los Luceros,Zone 6a
Los Lunas,"Zone 7a, 7b"
Los Ojos,Zone 5a
Los Ranchos de Albuquerque,Zone 7b
Loving,Zone 8a
Lovington,Zone 7b
Lower Frisco,Zone 6b
Luis Lopez,Zone 7b
Lumberton,Zone 5a
Luna,"Zone 5b, 6a"
Luna County,"Zone 7b, 8a, 8b, 9a"
Lyden,"Zone 6a, 6b, 7a"
Madrid,Zone 7a
Madrone,Zone 7a
Magdalena,"Zone 7a, 7b"
Malaga,Zone 8a
Manzano,"Zone 6b, 7a"
Manzano Springs,"Zone 6b, 7a"
Maxwell,Zone 5b
Mayhill,"Zone 6b, 7a"
McCartys Village,Zone 6b
McIntosh,Zone 6a
McKinley County,"Zone 5a, 5b, 6a, 6b, 7a, 7b"
Meadow Lake,"Zone 7a, 7b"
Melrose,Zone 7a
Mescalero,"Zone 6b, 7a"
Mesilla,Zone 8a
Mesita,Zone 7a
Mesquite,Zone 8a
Middle Frisco,Zone 6b
Midway,"Zone 7a, 7b"
Milan,Zone 6a
Mimbres,Zone 7b
Monterey Park,Zone 7a
Monument,Zone 7b
Moquino,"Zone 6b, 7a"
Mora,"Zone 5b, 6a"
Mora County,"Zone 5a, 5b, 6a, 6b"
Moriarty,Zone 6a
Morningside,Zone 7a
Mosquero,Zone 6a
Mountain View,Zone 8a
Mountainair,Zone 6b
Nadine,Zone 7b
Nageezi,"Zone 6a, 6b"
Nakaibito,Zone 6b
Nambe,"Zone 6a, 6b"
Napi Headquarters,Zone 7a
Nara Visa,Zone 6b
Naschitti,Zone 6b
Navajo,Zone 6a
Navajo Dam,Zone 6b
Nenahnezad,Zone 7a
Newcomb,Zone 6b
Newkirk,Zone 6b
Nogal,"Zone 6b, 7a"
North Acomita Village,Zone 6b
North Hobbs,Zone 7b
North Hurley,Zone 8a
North Light Plant,Zone 6b
North San Ysidro,Zone 6b
North Valley,"Zone 7a, 7b"
Oasis,Zone 8a
Ohkay Owingeh,Zone 6a
Ojo Amarillo,Zone 7a
Organ,Zone 8b
Orogrande,Zone 8a
Otero County,"Zone 6a, 6b, 7a, 7b, 8a, 8b"
Paguate,"Zone 6b, 7a"
Pajarito Mesa,Zone 7b
Paradise Hills,Zone 7b
Paraje,"Zone 6b, 7a"
Pastura,Zone 6b
Peak Place,Zone 6b
Pe̱a Blanca,Zone 7a
Pe̱asco,Zone 6a
Pecan Park,Zone 8a
Pecos,Zone 6a
Peralta,Zone 7a
Picuris Pueblo,Zone 6a
Pie Town,"Zone 5b, 6a"
Pinehill,Zone 5b
Pinon,Zone 7a
Pinos Altos,Zone 7b
Placitas,Zone
Placitas,"Zone 7a, 7b"
Playas,Zone 8a
Pleasanton,Zone 7b
Pojoaque,"Zone 6a, 6b"
Polvadera,Zone 7a
Ponderosa,"Zone 6b, 7a"
Ponderosa Pine,Zone 6b
Portales,Zone 7a
Pueblito,Zone 6a
Pueblitos,Zone 7a
Pueblo,Zone 6a
Pueblo of Sandia Village,"Zone 7a, 7b"
Pueblo Pintado,"Zone 5b, 6a"
Puerto de Luna,Zone 7a
Pulpotio Bareas,Zone 8a
Quay County,"Zone 6b, 7a"
Quemado,Zone 5b
Questa,Zone 5b
Radium Springs,"Zone 7b, 8a"
Ramah,"Zone 5b, 6a"
Rancho Grande,Zone
Ranchos de Taos,Zone 5b
Raton,Zone 6a
Red River,Zone 5a
Regina,Zone 5b
Reserve,Zone 6b
Ribera,Zone 6a
Rincon,Zone 7b
Rio Arriba County,"Zone 4b, 5a, 5b, 6a, 6b, 7a"
Rio Communities,Zone 7a
Rio en Medio,Zone 6b
Rio Lucio,Zone 6a
Rio Rancho,"Zone 7a, 7b"
Rivers,Zone 6b
Rock Springs,"Zone 6a, 6b"
Rodeo,Zone 8a
Rodey,Zone 7b
Roosevelt County,Zone 7a
Rosedale,Zone 8a
Roswell,"Zone 7a, 7b"
Rowe,Zone 6b
Roy,Zone 6b
Ruidoso,"Zone 6b, 7a"
Ruidoso Downs,"Zone 6b, 7a"
Sacramento,Zone 6b
Salem,Zone 8a
San Acacia,Zone 7a
San Antonio,Zone 7b
San Antonito,Zone 7b
San Antonito,Zone 7a
San Cristobal,"Zone 5b, 6a"
San Felipe Pueblo,"Zone 7a, 7b"
San Fidel,Zone 6b
San Ildefonso Pueblo,"Zone 6a, 6b"
San Jon,Zone 7a
San Jose,"Zone 6a, 6b"
San Jose,Zone 6a
San Juan County,"Zone 5a, 5b, 6a, 6b, 7a, 7b"
San Lorenzo,Zone 7b
San Luis,Zone 6b
San Mateo,"Zone 6a, 6b"
San Miguel,Zone 8a
San Miguel County,"Zone 5b, 6a, 6b, 7a"
San Pablo,Zone 8a
San Pedro,"Zone 6b, 7a"
San Rafael,"Zone 6a, 6b"
San Ysidro,Zone 8a
San Ysidro,Zone 7a
Sandia Heights,Zone 7b
Sandia Knolls,Zone 7a
Sandia Park,Zone
Sandoval County,"Zone 5a, 5b, 6a, 6b, 7a, 7b"
Sanostee,Zone 6b
Santa Ana Pueblo,Zone 7b
Santa Clara,Zone 8a
Santa Clara Pueblo,"Zone 6a, 6b"
Santa Cruz,Zone 6a
Santa Fe,Zone 6b
Santa Fe County,"Zone 5b, 6a, 6b, 7a"
Santa Rosa,Zone 7a
Santa Teresa,Zone 8a
Santo Domingo Pueblo,Zone 7a
Sausal,Zone 7a
Seama,Zone 6b
Seboyeta,"Zone 6b, 7a"
Sedillo,Zone 7a
Sena,Zone 6a
Sheep Springs,Zone 6b
Shiprock,Zone 7a
Sierra County,"Zone 6b, 7a, 7b, 8a, 8b, 9a"
Silver City,"Zone 7b, 8a"
Skyline-Ganipa,Zone 6b
Socorro,Zone 7b
Socorro County,"Zone 6a, 6b, 7a, 7b, 8a, 8b"
Soham,Zone 6a
Sombrillo,Zone 6a
South Acomita Village,Zone 6b
South Valley,"Zone 7a, 7b"
Spencerville,Zone 6b
Springer,Zone 5b
Sunland Park,"Zone 8a, 8b"
Sunshine,Zone 8a
Tajique,"Zone 6b, 7a"
Talpa,Zone 5b
Taos,Zone 5b
Taos County,"Zone 4b, 5a, 5b, 6a, 6b"
Taos Pueblo,"Zone 5b, 6a"
Taos Ski Valley,Zone 5b
Tatum,Zone 7a
Tecolote,"Zone 6a, 6b"
Tecolotito,Zone 6b
Tesuque,Zone 6b
Tesuque Pueblo,Zone 6b
Texico,Zone 7a
Thoreau,"Zone 5b, 6a"
Tierra Amarilla,Zone 5a
Tijeras,"Zone 6b, 7a"
Timberon,"Zone 6b, 7a, 7b"
Tohatchi,"Zone 6b, 7a"
Tome,Zone 7a
Torrance County,"Zone 6a, 6b, 7a, 7b"
Torreon,"Zone 6a, 6b"
Torreon,Zone 6b
Trout Valley,Zone 7b
Truchas,"Zone 6a, 6b"
Truth or Consequences,"Zone 8a, 8b"
Tse Bonito,Zone 6a
Tucumcari,Zone 7a
Tularosa,Zone 8a
Twin Forks,Zone 6b
Twin Lakes,"Zone 6a, 6b"
Tyrone,Zone 8a
Union County,"Zone 5b, 6a, 6b"
University Park,Zone 8a
Upper Fruitland,Zone 7a
Ute Park,"Zone 5b, 6a"
Vadito,Zone 6a
Vado,Zone 8a
Valencia,Zone 7a
Valencia County,"Zone 6b, 7a, 7b"
Vaughn,Zone 6b
Veguita,Zone 7a
Velarde,"Zone 6a, 6b"
Ventura,Zone 8a
Villanueva,"Zone 6a, 6b"
Virden,Zone 8a
Wagon Mound,Zone 5b
Waterflow,Zone 7a
Watrous,Zone
Weed,Zone 6b
West Hammond,"Zone 6b, 7a"
White Rock,"Zone 6b, 7a"
White Sands,Zone 8b
White Signal,Zone 7b
Whites City,Zone 7b
Willard,Zone 6b
Williamsburg,Zone 8a
Windmill,Zone 8a
Winston,Zone 7a
Yah-ta-hey,Zone 6a
Young Place,Zone 6a
Youngsville,Zone 6b
Zia Pueblo,Zone 7a
Zuni Pueblo,Zone 6a
